word,count,sqrt_count,tf_score,char_freq_score
pasts,5,2.23606797749979,0.2544647889542007,41.98010191701043
grows,76,8.717797887081348,0.9920863863727242,50.6996683652835
gills,4,2.0,0.22760022639269217,38.25123351937231
drown,13,3.605551275463989,0.410312143283032,46.38032839925584
rolls,143,11.958260743101398,1.3608514261963607,44.84348459111865
harem,9,3.0,0.34140033958903826,76.27598479333494
teens,64,8.0,0.9104009055707687,32.670063900347806
claws,16,4.0,0.45520045278538435,57.36471730162582
melee,149,12.206555615733702,1.3891074108079895,13.087438324031382
sword,431,20.760539492026695,2.3625517442098514,53.207150368033645
diary,186,13.638181696985855,1.5520266209093256,67.39464531262638
elbow,140,11.832159566199232,1.3465010979907017,63.28561028876485
cords,10,3.1622776601683795,0.35986755568543805,55.94111461619348
hated,80,8.94427190999916,1.0178591558168029,75.42667637304861
tiger,1567,39.585350825778974,4.504817404890719,72.10224055649924
gifts,105,10.246950765959598,1.1661041570835875,48.69368276308338
steal,243,15.588457268119896,1.7739682016684482,86.79932055326375
torso,35,5.916079783099616,0.6732505489953509,35.444471406616515
beads,80,8.94427190999916,1.0178591558168029,80.26369004286984
bison,92,9.591663046625438,1.0915323404471846,63.293698940386626
eater,68,8.246211251235321,0.9384197738315623,47.74731052333575
loose,519,22.781571499789035,2.592545415466644,53.741001375070766
morph,11,3.3166247903554,0.37743227657225215,44.398608751921046
limbs,43,6.557438524302,0.7462372463436483,50.35994499716896
chips,276,16.61324772583615,1.890589471759093,49.33268624120358
gears,203,14.247806848775006,1.6214020321902707,84.84995551241606
graft,30,5.477225575051661,0.6233088904428009,52.309310038016655
hardy,576,24.0,2.731202716712306,53.31230283911671
trunk,110,10.488088481701515,1.1935456564309261,43.22575426676372
scans,274,16.55294535724685,1.8837270553876229,41.42198495510797
ample,71,8.426149773176359,0.9588967979968356,73.87365526166788
zayin,3,1.7320508075688772,0.1971075779631609,58.084607295963764
farms,162,12.727922061357855,1.4484389713367947,58.99053627760251
corps,3104,55.71355310873648,6.3402086503448505,54.85723529887566
armor,369,19.209372712298546,2.186028789090376,49.75329612553587
sauce,110,10.488088481701515,1.1935456564309261,88.25527784518319
selah,6,2.449489742783178,0.27875221000201433,83.15942732346517
seder,20,4.47213595499958,0.5089295779084014,33.97233681145353
chalk,99,9.9498743710662,1.1322968297167564,48.402491304699495
gimel,7,2.6457513110645907,0.3010867986885315,65.50998948475288
welch,160,12.649110640673518,1.4394702227417522,51.589420043678714
faces,245,15.652475842498529,1.7812535226794053,78.57316185391893
adieu,4,2.0,0.22760022639269217,93.51290139933671
terse,6,2.449489742783178,0.27875221000201433,36.17245005257623
naval,841,29.0,3.3002032826940364,18.919356143330905
gonad,16,4.0,0.45520045278538435,62.12893310685107
slang,700,26.457513110645905,3.0108679868853145,60.01779503356788
sonic,596,24.413111231467404,2.778214821615979,65.08129094879882
torah,75,8.660254037844387,0.9855378898158045,68.89913451427644
babel,93,9.643650760992955,1.0974485482270273,64.12683005742942
maxim,587,24.228082879171435,2.757158574180164,45.919275256814686
boxer,221,14.866068747318506,1.691760306229509,63.7547520828278
dutch,1363,36.91882988394946,4.201367019870094,38.17034700315457
races,2195,46.850827100489916,5.331629427378191,86.73461134028955
krone,16,4.0,0.45520045278538435,70.12052090916444
purer,2,1.4142135623730951,0.16093766348186608,48.13556580118094
poems,336,18.33030277982336,2.085990531267196,72.41769796974843
tuned,56,7.483314773547883,0.851602068313638,64.6687697160883
hallo,37,6.082762530298219,0.6922190644944299,50.29523578419476
forma,21,4.58257569495584,0.521497632816799,63.02677343686806
